year,species,species_latin,how_many_counted,total_hours
2012,"Black-faced Solitaire",Myadestes melanops,NA,69.5
2013,"Black-faced Solitaire",Myadestes melanops,1,45
2014,"Black-faced Solitaire",Myadestes melanops,NA,66.5
2015,"Black-faced Solitaire",Myadestes melanops,NA,80.5
2016,"Black-faced Solitaire",Myadestes melanops,NA,61.35
2017,"Black-faced Solitaire",Myadestes melanops,1,87
2018,"Black-faced Solitaire",Myadestes melanops,NA,89.5
2019,"Black-faced Solitaire",Myadestes melanops,1,62
2010,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,53
2011,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,52
2012,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,69.5
2013,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,45
2014,"Black-headed Nightingale-Thrush",Catharus mexicanus,2,66.5
2015,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,80.5
2016,"Black-headed Nightingale-Thrush",Catharus mexicanus,1,61.35
2017,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,87
2018,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,89.5
2019,"Black-headed Nightingale-Thrush",Catharus mexicanus,NA,62
2010,"Swainson's Thrush",Catharus ustulatus,NA,53
2011,"Swainson's Thrush",Catharus ustulatus,NA,52
2012,"Swainson's Thrush",Catharus ustulatus,2,69.5
2013,"Swainson's Thrush",Catharus ustulatus,1,45
2014,"Swainson's Thrush",Catharus ustulatus,NA,66.5
2015,"Swainson's Thrush",Catharus ustulatus,NA,80.5
2016,"Swainson's Thrush",Catharus ustulatus,NA,61.35
2017,"Swainson's Thrush",Catharus ustulatus,2,87
2018,"Swainson's Thrush",Catharus ustulatus,NA,89.5
2019,"Swainson's Thrush",Catharus ustulatus,NA,62
2010,"Wood Thrush",Hylocichla mustelina,10,53
2011,"Wood Thrush",Hylocichla mustelina,8,52
2012,"Wood Thrush",Hylocichla mustelina,4,69.5
2013,"Wood Thrush",Hylocichla mustelina,1,45
2014,"Wood Thrush",Hylocichla mustelina,6,66.5
2015,"Wood Thrush",Hylocichla mustelina,6,80.5
2016,"Wood Thrush",Hylocichla mustelina,2,61.35
2017,"Wood Thrush",Hylocichla mustelina,5,87
2018,"Wood Thrush",Hylocichla mustelina,1,89.5
2019,"Wood Thrush",Hylocichla mustelina,5,62
2010,"Mountain Thrush",Turdus plebejus,NA,53
2011,"Mountain Thrush",Turdus plebejus,NA,52
2012,"Mountain Thrush",Turdus plebejus,4,69.5
2013,"Mountain Thrush",Turdus plebejus,NA,45
2014,"Mountain Thrush",Turdus plebejus,NA,66.5
2015,"Mountain Thrush",Turdus plebejus,NA,80.5
2016,"Mountain Thrush",Turdus plebejus,NA,61.35
2017,"Mountain Thrush",Turdus plebejus,11,87
2018,"Mountain Thrush",Turdus plebejus,2,89.5
2019,"Mountain Thrush",Turdus plebejus,2,62
2010,"Clay-colored Thrush",Turdus grayi,9,53
2011,"Clay-colored Thrush",Turdus grayi,NA,52
2012,"Clay-colored Thrush",Turdus grayi,8,69.5
2013,"Clay-colored Thrush",Turdus grayi,4,45
2014,"Clay-colored Thrush",Turdus grayi,37,66.5
2015,"Clay-colored Thrush",Turdus grayi,41,80.5
2016,"Clay-colored Thrush",Turdus grayi,32,61.35
2017,"Clay-colored Thrush",Turdus grayi,39,87
2018,"Clay-colored Thrush",Turdus grayi,25,89.5
2019,"Clay-colored Thrush",Turdus grayi,12,62
2010,"White-throated Thrush",Turdus assimilis,NA,53
2011,"White-throated Thrush",Turdus assimilis,9,52
2012,"White-throated Thrush",Turdus assimilis,1,69.5
2013,"White-throated Thrush",Turdus assimilis,6,45
2014,"White-throated Thrush",Turdus assimilis,7,66.5
2015,"White-throated Thrush",Turdus assimilis,NA,80.5
2016,"White-throated Thrush",Turdus assimilis,1,61.35
2017,"White-throated Thrush",Turdus assimilis,13,87
2018,"White-throated Thrush",Turdus assimilis,NA,89.5
2019,"White-throated Thrush",Turdus assimilis,5,62
2010,"Gray Catbird",Dumetella carolinensis,NA,53
2011,"Gray Catbird",Dumetella carolinensis,NA,52
2012,"Gray Catbird",Dumetella carolinensis,NA,69.5
2013,"Gray Catbird",Dumetella carolinensis,NA,45
2014,"Gray Catbird",Dumetella carolinensis,NA,66.5
2015,"Gray Catbird",Dumetella carolinensis,NA,80.5
2016,"Gray Catbird",Dumetella carolinensis,1,61.35
2017,"Gray Catbird",Dumetella carolinensis,NA,87
2018,"Gray Catbird",Dumetella carolinensis,NA,89.5
2019,"Gray Catbird",Dumetella carolinensis,NA,62
2010,"Tropical Mockingbird",Mimus gilvus,NA,53
2011,"Tropical Mockingbird",Mimus gilvus,NA,52
2012,"Tropical Mockingbird",Mimus gilvus,NA,69.5
2013,"Tropical Mockingbird",Mimus gilvus,NA,45
2014,"Tropical Mockingbird",Mimus gilvus,1,66.5
2015,"Tropical Mockingbird",Mimus gilvus,4,80.5
2016,"Tropical Mockingbird",Mimus gilvus,NA,61.35
2017,"Tropical Mockingbird",Mimus gilvus,1,87
2018,"Tropical Mockingbird",Mimus gilvus,1,89.5
2019,"Tropical Mockingbird",Mimus gilvus,5,62
2010,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,53
2011,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,52
2012,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,69.5
2013,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,1,45
2014,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,66.5
2015,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,80.5
2016,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,61.35
2017,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,87
2018,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,1,89.5
2019,"Black-and-yellow Silky-flycatcher",Phainoptila melanoxantha,NA,62
2010,"Ovenbird",Seiurus aurocapilla,1,53
2011,"Ovenbird",Seiurus aurocapilla,1,52
2012,"Ovenbird",Seiurus aurocapilla,NA,69.5
2013,"Ovenbird",Seiurus aurocapilla,NA,45
2014,"Ovenbird",Seiurus aurocapilla,NA,66.5
2015,"Ovenbird",Seiurus aurocapilla,2,80.5
2016,"Ovenbird",Seiurus aurocapilla,NA,61.35
2017,"Ovenbird",Seiurus aurocapilla,1,87
2018,"Ovenbird",Seiurus aurocapilla,NA,89.5
2019,"Ovenbird",Seiurus aurocapilla,2,62
2010,"Louisiana Waterthrush",Parkesia motacilla,NA,53
2011,"Louisiana Waterthrush",Parkesia motacilla,3,52
2012,"Louisiana Waterthrush",Parkesia motacilla,NA,69.5
2013,"Louisiana Waterthrush",Parkesia motacilla,NA,45
2014,"Louisiana Waterthrush",Parkesia motacilla,NA,66.5
2015,"Louisiana Waterthrush",Parkesia motacilla,NA,80.5
2016,"Louisiana Waterthrush",Parkesia motacilla,4,61.35
2017,"Louisiana Waterthrush",Parkesia motacilla,NA,87
2018,"Louisiana Waterthrush",Parkesia motacilla,2,89.5
2019,"Louisiana Waterthrush",Parkesia motacilla,NA,62
2010,"Northern Waterthrush",Parkesia noveboracensis,NA,53
2011,"Northern Waterthrush",Parkesia noveboracensis,NA,52
2012,"Northern Waterthrush",Parkesia noveboracensis,2,69.5
2013,"Northern Waterthrush",Parkesia noveboracensis,4,45
2014,"Northern Waterthrush",Parkesia noveboracensis,5,66.5
2015,"Northern Waterthrush",Parkesia noveboracensis,1,80.5
2016,"Northern Waterthrush",Parkesia noveboracensis,1,61.35
2017,"Northern Waterthrush",Parkesia noveboracensis,1,87
2018,"Northern Waterthrush",Parkesia noveboracensis,3,89.5
2019,"Northern Waterthrush",Parkesia noveboracensis,3,62
2010,"Golden-winged Warbler",Vermivora chrysoptera,NA,53
2011,"Golden-winged Warbler",Vermivora chrysoptera,1,52
2012,"Golden-winged Warbler",Vermivora chrysoptera,NA,69.5
2013,"Golden-winged Warbler",Vermivora chrysoptera,NA,45
2014,"Golden-winged Warbler",Vermivora chrysoptera,2,66.5
2015,"Golden-winged Warbler",Vermivora chrysoptera,NA,80.5
2016,"Golden-winged Warbler",Vermivora chrysoptera,2,61.35
2017,"Golden-winged Warbler",Vermivora chrysoptera,3,87
2018,"Golden-winged Warbler",Vermivora chrysoptera,NA,89.5
2019,"Golden-winged Warbler",Vermivora chrysoptera,NA,62
2010,"Black-and-white Warbler",Mniotilta varia,14,53
2011,"Black-and-white Warbler",Mniotilta varia,6,52
2012,"Black-and-white Warbler",Mniotilta varia,6,69.5
2013,"Black-and-white Warbler",Mniotilta varia,3,45
2014,"Black-and-white Warbler",Mniotilta varia,6,66.5
2015,"Black-and-white Warbler",Mniotilta varia,12,80.5
2016,"Black-and-white Warbler",Mniotilta varia,1,61.35
2017,"Black-and-white Warbler",Mniotilta varia,15,87
2018,"Black-and-white Warbler",Mniotilta varia,6,89.5
2019,"Black-and-white Warbler",Mniotilta varia,7,62
2010,"Prothonotary Warbler",Protonotaria citrea,NA,53
2011,"Prothonotary Warbler",Protonotaria citrea,NA,52
2012,"Prothonotary Warbler",Protonotaria citrea,NA,69.5
2013,"Prothonotary Warbler",Protonotaria citrea,NA,45
2014,"Prothonotary Warbler",Protonotaria citrea,NA,66.5
2015,"Prothonotary Warbler",Protonotaria citrea,NA,80.5
2016,"Prothonotary Warbler",Protonotaria citrea,NA,61.35
2017,"Prothonotary Warbler",Protonotaria citrea,1,87
2018,"Prothonotary Warbler",Protonotaria citrea,NA,89.5
2019,"Prothonotary Warbler",Protonotaria citrea,1,62
2010,"Tennessee Warbler",Oreothlypis peregrina,7,53
2011,"Tennessee Warbler",Oreothlypis peregrina,9,52
2012,"Tennessee Warbler",Oreothlypis peregrina,4,69.5
2013,"Tennessee Warbler",Oreothlypis peregrina,9,45
2014,"Tennessee Warbler",Oreothlypis peregrina,28,66.5
2015,"Tennessee Warbler",Oreothlypis peregrina,11,80.5
2016,"Tennessee Warbler",Oreothlypis peregrina,6,61.35
2017,"Tennessee Warbler",Oreothlypis peregrina,9,87
2018,"Tennessee Warbler",Oreothlypis peregrina,15,89.5
2019,"Tennessee Warbler",Oreothlypis peregrina,12,62
2010,"Gray-crowned Yellowthroat",Geothlypis poliocephala,12,53
2011,"Gray-crowned Yellowthroat",Geothlypis poliocephala,NA,52
2012,"Gray-crowned Yellowthroat",Geothlypis poliocephala,3,69.5
2013,"Gray-crowned Yellowthroat",Geothlypis poliocephala,2,45
2014,"Gray-crowned Yellowthroat",Geothlypis poliocephala,3,66.5
2015,"Gray-crowned Yellowthroat",Geothlypis poliocephala,4,80.5
2016,"Gray-crowned Yellowthroat",Geothlypis poliocephala,5,61.35
2017,"Gray-crowned Yellowthroat",Geothlypis poliocephala,4,87
2018,"Gray-crowned Yellowthroat",Geothlypis poliocephala,13,89.5
2019,"Gray-crowned Yellowthroat",Geothlypis poliocephala,3,62
2010,"Mourning Warbler",Geothlypis philadelphia,1,53
2011,"Mourning Warbler",Geothlypis philadelphia,NA,52
2012,"Mourning Warbler",Geothlypis philadelphia,4,69.5
2013,"Mourning Warbler",Geothlypis philadelphia,1,45
2014,"Mourning Warbler",Geothlypis philadelphia,1,66.5
2015,"Mourning Warbler",Geothlypis philadelphia,1,80.5
2016,"Mourning Warbler",Geothlypis philadelphia,2,61.35
2017,"Mourning Warbler",Geothlypis philadelphia,1,87
2018,"Mourning Warbler",Geothlypis philadelphia,NA,89.5
2019,"Mourning Warbler",Geothlypis philadelphia,1,62
2010,"Kentucky Warbler",Geothlypis formosa,NA,53
2011,"Kentucky Warbler",Geothlypis formosa,NA,52
2012,"Kentucky Warbler",Geothlypis formosa,1,69.5
2013,"Kentucky Warbler",Geothlypis formosa,NA,45
2014,"Kentucky Warbler",Geothlypis formosa,2,66.5
2015,"Kentucky Warbler",Geothlypis formosa,NA,80.5
2016,"Kentucky Warbler",Geothlypis formosa,1,61.35
2017,"Kentucky Warbler",Geothlypis formosa,1,87
2018,"Kentucky Warbler",Geothlypis formosa,1,89.5
2019,"Kentucky Warbler",Geothlypis formosa,2,62
2010,"Olive-crowned Yellowthroat",Geothlypis semiflava,6,53
2011,"Olive-crowned Yellowthroat",Geothlypis semiflava,2,52
2012,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,69.5
2013,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,45
2014,"Olive-crowned Yellowthroat",Geothlypis semiflava,1,66.5
2015,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,80.5
2016,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,61.35
2017,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,87
2018,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,89.5
2019,"Olive-crowned Yellowthroat",Geothlypis semiflava,NA,62
2010,"Common Yellowthroat",Geothlypis trichas,NA,53
2011,"Common Yellowthroat",Geothlypis trichas,2,52
2012,"Common Yellowthroat",Geothlypis trichas,NA,69.5
2013,"Common Yellowthroat",Geothlypis trichas,NA,45
2014,"Common Yellowthroat",Geothlypis trichas,NA,66.5
2015,"Common Yellowthroat",Geothlypis trichas,NA,80.5
2016,"Common Yellowthroat",Geothlypis trichas,NA,61.35
2017,"Common Yellowthroat",Geothlypis trichas,NA,87
2018,"Common Yellowthroat",Geothlypis trichas,NA,89.5
2019,"Common Yellowthroat",Geothlypis trichas,NA,62
2010,"American Redstart",Setophaga ruticilla,NA,53
2011,"American Redstart",Setophaga ruticilla,NA,52
2012,"American Redstart",Setophaga ruticilla,NA,69.5
2013,"American Redstart",Setophaga ruticilla,NA,45
2014,"American Redstart",Setophaga ruticilla,NA,66.5
2015,"American Redstart",Setophaga ruticilla,1,80.5
2016,"American Redstart",Setophaga ruticilla,NA,61.35
2017,"American Redstart",Setophaga ruticilla,1,87
2018,"American Redstart",Setophaga ruticilla,NA,89.5
2019,"American Redstart",Setophaga ruticilla,NA,62
2010,"Northern Parula",Setophaga americana,NA,53
2011,"Northern Parula",Setophaga americana,NA,52
2012,"Northern Parula",Setophaga americana,1,69.5
2013,"Northern Parula",Setophaga americana,NA,45
2014,"Northern Parula",Setophaga americana,NA,66.5
2015,"Northern Parula",Setophaga americana,NA,80.5
2016,"Northern Parula",Setophaga americana,NA,61.35
2017,"Northern Parula",Setophaga americana,NA,87
2018,"Northern Parula",Setophaga americana,NA,89.5
2019,"Northern Parula",Setophaga americana,1,62
2010,"Tropical Parula",Setophaga pitiayumi,NA,53
2011,"Tropical Parula",Setophaga pitiayumi,NA,52
2012,"Tropical Parula",Setophaga pitiayumi,NA,69.5
2013,"Tropical Parula",Setophaga pitiayumi,NA,45
2014,"Tropical Parula",Setophaga pitiayumi,NA,66.5
2015,"Tropical Parula",Setophaga pitiayumi,NA,80.5
2016,"Tropical Parula",Setophaga pitiayumi,NA,61.35
2017,"Tropical Parula",Setophaga pitiayumi,1,87
2018,"Tropical Parula",Setophaga pitiayumi,2,89.5
2019,"Tropical Parula",Setophaga pitiayumi,1,62
2010,"Bay-breasted Warbler",Setophaga castanea,NA,53
2011,"Bay-breasted Warbler",Setophaga castanea,NA,52
2012,"Bay-breasted Warbler",Setophaga castanea,NA,69.5
2013,"Bay-breasted Warbler",Setophaga castanea,1,45
2014,"Bay-breasted Warbler",Setophaga castanea,1,66.5
2015,"Bay-breasted Warbler",Setophaga castanea,NA,80.5
2016,"Bay-breasted Warbler",Setophaga castanea,NA,61.35
2017,"Bay-breasted Warbler",Setophaga castanea,NA,87
2018,"Bay-breasted Warbler",Setophaga castanea,NA,89.5
2019,"Bay-breasted Warbler",Setophaga castanea,NA,62
2010,"Yellow Warbler",Setophaga petechia,14,53
2011,"Yellow Warbler",Setophaga petechia,24,52
2012,"Yellow Warbler",Setophaga petechia,4,69.5
2013,"Yellow Warbler",Setophaga petechia,9,45
2014,"Yellow Warbler",Setophaga petechia,17,66.5
2015,"Yellow Warbler",Setophaga petechia,8,80.5
2016,"Yellow Warbler",Setophaga petechia,18,61.35
2017,"Yellow Warbler",Setophaga petechia,40,87
2018,"Yellow Warbler",Setophaga petechia,15,89.5
2019,"Yellow Warbler",Setophaga petechia,4,62
2010,"Chestnut-sided Warbler",Setophaga pensylvanica,4,53
2011,"Chestnut-sided Warbler",Setophaga pensylvanica,6,52
2012,"Chestnut-sided Warbler",Setophaga pensylvanica,9,69.5
2013,"Chestnut-sided Warbler",Setophaga pensylvanica,15,45
2014,"Chestnut-sided Warbler",Setophaga pensylvanica,36,66.5
2015,"Chestnut-sided Warbler",Setophaga pensylvanica,18,80.5
2016,"Chestnut-sided Warbler",Setophaga pensylvanica,20,61.35
2017,"Chestnut-sided Warbler",Setophaga pensylvanica,35,87
2018,"Chestnut-sided Warbler",Setophaga pensylvanica,21,89.5
2019,"Chestnut-sided Warbler",Setophaga pensylvanica,6,62
2010,"Blackpoll Warbler",Setophaga striata,1,53
2011,"Blackpoll Warbler",Setophaga striata,NA,52
2012,"Blackpoll Warbler",Setophaga striata,NA,69.5
2013,"Blackpoll Warbler",Setophaga striata,NA,45
2014,"Blackpoll Warbler",Setophaga striata,NA,66.5
2015,"Blackpoll Warbler",Setophaga striata,NA,80.5
2016,"Blackpoll Warbler",Setophaga striata,NA,61.35
2017,"Blackpoll Warbler",Setophaga striata,NA,87
2018,"Blackpoll Warbler",Setophaga striata,NA,89.5
2019,"Blackpoll Warbler",Setophaga striata,NA,62
2010,"Yellow-throated Warbler",Setophaga dominica,NA,53
2011,"Yellow-throated Warbler",Setophaga dominica,NA,52
2012,"Yellow-throated Warbler",Setophaga dominica,NA,69.5
2013,"Yellow-throated Warbler",Setophaga dominica,NA,45
2014,"Yellow-throated Warbler",Setophaga dominica,NA,66.5
2015,"Yellow-throated Warbler",Setophaga dominica,1,80.5
2016,"Yellow-throated Warbler",Setophaga dominica,NA,61.35
2017,"Yellow-throated Warbler",Setophaga dominica,NA,87
2018,"Yellow-throated Warbler",Setophaga dominica,NA,89.5
2019,"Yellow-throated Warbler",Setophaga dominica,NA,62
2010,"Black-throated Green Warbler",Setophaga virens,1,53
2011,"Black-throated Green Warbler",Setophaga virens,NA,52
2012,"Black-throated Green Warbler",Setophaga virens,3,69.5
2013,"Black-throated Green Warbler",Setophaga virens,NA,45
2014,"Black-throated Green Warbler",Setophaga virens,NA,66.5
2015,"Black-throated Green Warbler",Setophaga virens,NA,80.5
2016,"Black-throated Green Warbler",Setophaga virens,NA,61.35
2017,"Black-throated Green Warbler",Setophaga virens,NA,87
2018,"Black-throated Green Warbler",Setophaga virens,NA,89.5
2019,"Black-throated Green Warbler",Setophaga virens,1,62
2010,"Rufous-capped Warbler",Basileuterus rufifrons,7,53
2011,"Rufous-capped Warbler",Basileuterus rufifrons,5,52
2012,"Rufous-capped Warbler",Basileuterus rufifrons,5,69.5
2013,"Rufous-capped Warbler",Basileuterus rufifrons,NA,45
2014,"Rufous-capped Warbler",Basileuterus rufifrons,NA,66.5
2015,"Rufous-capped Warbler",Basileuterus rufifrons,NA,80.5
2016,"Rufous-capped Warbler",Basileuterus rufifrons,2,61.35
2017,"Rufous-capped Warbler",Basileuterus rufifrons,5,87
2018,"Rufous-capped Warbler",Basileuterus rufifrons,6,89.5
2019,"Rufous-capped Warbler",Basileuterus rufifrons,4,62
2010,"Golden-crowned Warbler",Basileuterus culicivorus,1,53
2011,"Golden-crowned Warbler",Basileuterus culicivorus,NA,52
2012,"Golden-crowned Warbler",Basileuterus culicivorus,8,69.5
2013,"Golden-crowned Warbler",Basileuterus culicivorus,NA,45
2014,"Golden-crowned Warbler",Basileuterus culicivorus,NA,66.5
2015,"Golden-crowned Warbler",Basileuterus culicivorus,1,80.5
2016,"Golden-crowned Warbler",Basileuterus culicivorus,10,61.35
2017,"Golden-crowned Warbler",Basileuterus culicivorus,9,87
2018,"Golden-crowned Warbler",Basileuterus culicivorus,10,89.5
2019,"Golden-crowned Warbler",Basileuterus culicivorus,19,62
2010,"Three-striped Warbler",Basileuterus tristriatus,5,53
2011,"Three-striped Warbler",Basileuterus tristriatus,NA,52
2012,"Three-striped Warbler",Basileuterus tristriatus,NA,69.5
2013,"Three-striped Warbler",Basileuterus tristriatus,NA,45
2014,"Three-striped Warbler",Basileuterus tristriatus,NA,66.5
2015,"Three-striped Warbler",Basileuterus tristriatus,NA,80.5
2016,"Three-striped Warbler",Basileuterus tristriatus,NA,61.35
2017,"Three-striped Warbler",Basileuterus tristriatus,NA,87
2018,"Three-striped Warbler",Basileuterus tristriatus,NA,89.5
2019,"Three-striped Warbler",Basileuterus tristriatus,NA,62
2010,"Buff-rumped Warbler",Myiothlypis fulvicauda,4,53
2011,"Buff-rumped Warbler",Myiothlypis fulvicauda,6,52
2012,"Buff-rumped Warbler",Myiothlypis fulvicauda,9,69.5
2013,"Buff-rumped Warbler",Myiothlypis fulvicauda,5,45
2014,"Buff-rumped Warbler",Myiothlypis fulvicauda,9,66.5
2015,"Buff-rumped Warbler",Myiothlypis fulvicauda,6,80.5
2016,"Buff-rumped Warbler",Myiothlypis fulvicauda,11,61.35
2017,"Buff-rumped Warbler",Myiothlypis fulvicauda,8,87
2018,"Buff-rumped Warbler",Myiothlypis fulvicauda,1,89.5
2019,"Buff-rumped Warbler",Myiothlypis fulvicauda,1,62
2010,"Wilson's Warbler",Cardellina pusilla,NA,53
2011,"Wilson's Warbler",Cardellina pusilla,NA,52
2012,"Wilson's Warbler",Cardellina pusilla,NA,69.5
2013,"Wilson's Warbler",Cardellina pusilla,NA,45
2014,"Wilson's Warbler",Cardellina pusilla,1,66.5
2015,"Wilson's Warbler",Cardellina pusilla,NA,80.5
2016,"Wilson's Warbler",Cardellina pusilla,NA,61.35
2017,"Wilson's Warbler",Cardellina pusilla,NA,87
2018,"Wilson's Warbler",Cardellina pusilla,1,89.5
2019,"Wilson's Warbler",Cardellina pusilla,NA,62
2010,"Slate-throated Redstart",Myioborus miniatus,NA,53
2011,"Slate-throated Redstart",Myioborus miniatus,NA,52
2012,"Slate-throated Redstart",Myioborus miniatus,3,69.5
2013,"Slate-throated Redstart",Myioborus miniatus,NA,45
2014,"Slate-throated Redstart",Myioborus miniatus,1,66.5
2015,"Slate-throated Redstart",Myioborus miniatus,NA,80.5
2016,"Slate-throated Redstart",Myioborus miniatus,NA,61.35
2017,"Slate-throated Redstart",Myioborus miniatus,1,87
2018,"Slate-throated Redstart",Myioborus miniatus,1,89.5
2019,"Slate-throated Redstart",Myioborus miniatus,NA,62
2010,"Gray-headed Tanager",Eucometis penicillata,NA,53
2011,"Gray-headed Tanager",Eucometis penicillata,NA,52
2012,"Gray-headed Tanager",Eucometis penicillata,1,69.5
2013,"Gray-headed Tanager",Eucometis penicillata,NA,45
2014,"Gray-headed Tanager",Eucometis penicillata,2,66.5
2015,"Gray-headed Tanager",Eucometis penicillata,4,80.5
2016,"Gray-headed Tanager",Eucometis penicillata,NA,61.35
2017,"Gray-headed Tanager",Eucometis penicillata,1,87
2018,"Gray-headed Tanager",Eucometis penicillata,NA,89.5
2019,"Gray-headed Tanager",Eucometis penicillata,1,62
2010,"White-shouldered Tanager",Tachyphonus luctuosus,8,53
2011,"White-shouldered Tanager",Tachyphonus luctuosus,10,52
2012,"White-shouldered Tanager",Tachyphonus luctuosus,1,69.5
2013,"White-shouldered Tanager",Tachyphonus luctuosus,9,45
2014,"White-shouldered Tanager",Tachyphonus luctuosus,2,66.5
2015,"White-shouldered Tanager",Tachyphonus luctuosus,12,80.5
2016,"White-shouldered Tanager",Tachyphonus luctuosus,2,61.35
2017,"White-shouldered Tanager",Tachyphonus luctuosus,2,87
2018,"White-shouldered Tanager",Tachyphonus luctuosus,1,89.5
2019,"White-shouldered Tanager",Tachyphonus luctuosus,10,62
2010,"Tawny-crested Tanager",Tachyphonus delatrii,NA,53
2011,"Tawny-crested Tanager",Tachyphonus delatrii,NA,52
2012,"Tawny-crested Tanager",Tachyphonus delatrii,NA,69.5
2013,"Tawny-crested Tanager",Tachyphonus delatrii,10,45
2014,"Tawny-crested Tanager",Tachyphonus delatrii,NA,66.5
2015,"Tawny-crested Tanager",Tachyphonus delatrii,6,80.5
2016,"Tawny-crested Tanager",Tachyphonus delatrii,NA,61.35
2017,"Tawny-crested Tanager",Tachyphonus delatrii,7,87
2018,"Tawny-crested Tanager",Tachyphonus delatrii,NA,89.5
2019,"Tawny-crested Tanager",Tachyphonus delatrii,9,62
2010,"White-lined Tanager",Tachyphonus rufus,NA,53
2011,"White-lined Tanager",Tachyphonus rufus,1,52
2012,"White-lined Tanager",Tachyphonus rufus,NA,69.5
2013,"White-lined Tanager",Tachyphonus rufus,3,45
2014,"White-lined Tanager",Tachyphonus rufus,1,66.5
2015,"White-lined Tanager",Tachyphonus rufus,3,80.5
2016,"White-lined Tanager",Tachyphonus rufus,4,61.35
2017,"White-lined Tanager",Tachyphonus rufus,10,87
2018,"White-lined Tanager",Tachyphonus rufus,4,89.5
2019,"White-lined Tanager",Tachyphonus rufus,NA,62
2010,"White-throated Shrike-Tanager",Lanio leucothorax,NA,53
2011,"White-throated Shrike-Tanager",Lanio leucothorax,NA,52
2012,"White-throated Shrike-Tanager",Lanio leucothorax,NA,69.5
2013,"White-throated Shrike-Tanager",Lanio leucothorax,NA,45
2014,"White-throated Shrike-Tanager",Lanio leucothorax,NA,66.5
2015,"White-throated Shrike-Tanager",Lanio leucothorax,1,80.5
2016,"White-throated Shrike-Tanager",Lanio leucothorax,NA,61.35
2017,"White-throated Shrike-Tanager",Lanio leucothorax,NA,87
2018,"White-throated Shrike-Tanager",Lanio leucothorax,4,89.5
2019,"White-throated Shrike-Tanager",Lanio leucothorax,NA,62
2010,"Crimson-collared Tanager",Ramphocelus sanguinolentus,NA,53
2011,"Crimson-collared Tanager",Ramphocelus sanguinolentus,2,52
2012,"Crimson-collared Tanager",Ramphocelus sanguinolentus,5,69.5
2013,"Crimson-collared Tanager",Ramphocelus sanguinolentus,NA,45
2014,"Crimson-collared Tanager",Ramphocelus sanguinolentus,NA,66.5
2015,"Crimson-collared Tanager",Ramphocelus sanguinolentus,6,80.5
2016,"Crimson-collared Tanager",Ramphocelus sanguinolentus,NA,61.35
2017,"Crimson-collared Tanager",Ramphocelus sanguinolentus,6,87
2018,"Crimson-collared Tanager",Ramphocelus sanguinolentus,2,89.5
2019,"Crimson-collared Tanager",Ramphocelus sanguinolentus,NA,62
2010,"Passerini's Tanager",Ramphocelus passerinii,37,53
2011,"Passerini's Tanager",Ramphocelus passerinii,32,52
2012,"Passerini's Tanager",Ramphocelus passerinii,32,69.5
2013,"Passerini's Tanager",Ramphocelus passerinii,37,45
2014,"Passerini's Tanager",Ramphocelus passerinii,92,66.5
2015,"Passerini's Tanager",Ramphocelus passerinii,53,80.5
2016,"Passerini's Tanager",Ramphocelus passerinii,64,61.35
2017,"Passerini's Tanager",Ramphocelus passerinii,98,87
2018,"Passerini's Tanager",Ramphocelus passerinii,29,89.5
2019,"Passerini's Tanager",Ramphocelus passerinii,41,62
2010,"Blue-gray Tanager",Thraupis episcopus,17,53
2011,"Blue-gray Tanager",Thraupis episcopus,9,52
2012,"Blue-gray Tanager",Thraupis episcopus,15,69.5
2013,"Blue-gray Tanager",Thraupis episcopus,14,45
2014,"Blue-gray Tanager",Thraupis episcopus,16,66.5
2015,"Blue-gray Tanager",Thraupis episcopus,30,80.5
2016,"Blue-gray Tanager",Thraupis episcopus,16,61.35
2017,"Blue-gray Tanager",Thraupis episcopus,21,87
2018,"Blue-gray Tanager",Thraupis episcopus,14,89.5
2019,"Blue-gray Tanager",Thraupis episcopus,18,62
2010,"Palm Tanager",Thraupis palmarum,NA,53
2011,"Palm Tanager",Thraupis palmarum,NA,52
